round,node_id,neighbors_list,subgroup,position_x,position_y
1,1,"2,3,4,5",0,250,600
1,2,"1,4,5,12",0,150,400
1,3,"1,4,5,7",0,350,650
1,4,"1,2,3,5",0,250,400
1,5,"1,2,3,4",0,300,485
1,6,"7,8,9,10",0,510,500
1,7,"3,6,9,10",0,450,600
1,8,"6,9,10,13",0,550,400
1,9,"6,7,8,10",0,400,485
1,10,"6,7,8,9",0,450,400
1,11,"12,13,14,15",0,350,200
1,12,"2,11,14,15",0,250,200
1,13,"8,11,14,15",0,450,200
1,14,"11,12,13,15",0,300,315
1,15,"11,12,13,14",0,400,315
1,16,16,0,0,0
1,17,17,0,0,0
1,18,18,0,0,0
1,19,19,0,0,0
1,20,20,0,0,0
2,1,"2,3,4,5",0,250,600
2,2,"1,4,5,12",0,150,400
2,3,"1,4,5,7",0,350,650
2,4,"1,2,3,5",0,250,400
2,5,"1,2,3,4",0,300,485
2,6,"7,8,9,10",0,510,500
2,7,"3,6,9,10",0,450,600
2,8,"6,9,10,13",0,550,400
2,9,"6,7,8,10",0,400,485
2,10,"6,7,8,9",0,450,400
2,11,"12,13,14,15",0,350,200
2,12,"2,11,14,15",0,250,200
2,13,"8,11,14,15",0,450,200
2,14,"11,12,13,15",0,300,315
2,15,"11,12,13,14",0,400,315
2,16,16,0,0,0
2,17,17,0,0,0
2,18,18,0,0,0
2,19,19,0,0,0
2,20,20,0,0,0
3,1,"2,3,4,5",0,250,600
3,2,"1,4,5,12",0,150,400
3,3,"1,4,5,7",0,350,650
3,4,"1,2,3,5",0,250,400
3,5,"1,2,3,4",0,300,485
3,6,"7,8,9,10",0,510,500
3,7,"3,6,9,10",0,450,600
3,8,"6,9,10,13",0,550,400
3,9,"6,7,8,10",0,400,485
3,10,"6,7,8,9",0,450,400
3,11,"12,13,14,15",0,350,200
3,12,"2,11,14,15",0,250,200
3,13,"8,11,14,15",0,450,200
3,14,"11,12,13,15",0,300,315
3,15,"11,12,13,14",0,400,315
3,16,16,0,0,0
3,17,17,0,0,0
3,18,18,0,0,0
3,19,19,0,0,0
3,20,20,0,0,0
4,1,"2,3,4,5",0,250,600
4,2,"1,4,5,12",0,150,400
4,3,"1,4,5,7",0,350,650
4,4,"1,2,3,5",0,250,400
4,5,"1,2,3,4",0,300,485
4,6,"7,8,9,10",0,510,500
4,7,"3,6,9,10",0,450,600
4,8,"6,9,10,13",0,550,400
4,9,"6,7,8,10",0,400,485
4,10,"6,7,8,9",0,450,400
4,11,"12,13,14,15",0,350,200
4,12,"2,11,14,15",0,250,200
4,13,"8,11,14,15",0,450,200
4,14,"11,12,13,15",0,300,315
4,15,"11,12,13,14",0,400,315
4,16,16,0,0,0
4,17,17,0,0,0
4,18,18,0,0,0
4,19,19,0,0,0
